Location?,Interaction?,Use?,Completed?,Study ID,Search Term,Authors,Title,SO,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,3,Fundulus heteroclitus,"Johnson, David Samuel; Fleeger, John W.; Deegan, Linda A.",Large-scale manipulations reveal that top-down and bottom-up controls interact to alter habitat utilization by saltmarsh fauna,MARINE ECOLOGY PROGRESS SERIES,,,377,,,,33,41,,10.3354/meps07849,,,2009,2009,,,,,,,,,9,0,9,0,9,0171-8630,,WOS:000264557300004,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Raposa, Kenneth B.","Early Ecological Responses to Hydrologic Restoration of a Tidal Pond and Salt Marsh Complex in Narragansett Bay, Rhode Island",JOURNAL OF COASTAL RESEARCH,,,,,,,180,192,,10.2112/SI55-015,,,SUM 2008,2008,,,,,,,,,8,0,8,0,8,0749-0208,,WOS:000266564000014,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,Fundulus heteroclitus,"Post, William",Food exploitation patterns in an assembly of estuarine herons,WATERBIRDS,,,31,2,,,179,192,,10.1675/1524-4695(2008)31[179:FEPIAA]2.0.CO;2,,,6/8/14,2008,,,,,,,,,2,0,2,0,2,1524-4695,,WOS:000258481800003,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Fleeger, J. W.; Johnson, D. S.; Galvan, K. A.; Deegan, L. A.",Top-down and bottom-up control of infauna varies across the saltmarsh landscape,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,357,1,,,20,34,,10.1016/j.jembe.2007.12.003,,,3/17/08,2008,,,,,,,,,17,0,16,0,17,0022-0981,,WOS:000255310400003,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,No,Yes,,Fundulus heteroclitus,"Kulesza, Amy E.; Holomuzki, Joseph R.; Klarer, David M.",Benthic community structure in stands of Typha angustifolia and herbicide-treated and untreated Phragmites australis,WETLANDS,,,28,1,,,40,56,,10.1672/07-63.1,,,3/8/14,2008,,,,,,,,,7,0,6,0,7,0277-5212,,WOS:000255117200004,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,Fundulus heteroclitus,"Able, K. W.; Grothues, T. M.; Hagan, S. M.; Kimball, M. E.; Nemerson, D. M.; Taghon, G. L.",Long-term response of fishes and other fauna to restoration of former salt hay farms: multiple measures of restoration success,REVIEWS IN FISH BIOLOGY AND FISHERIES,,,18,1,,,65,97,,10.1007/s11160-007-9066-6,,,2/8/14,2008,,,,,,,,,13,0,13,0,13,0960-3166,,WOS:000252158800005,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,5,Fundulus heteroclitus,"Samson, J. C.; Shumway, S. E.; Weis, J. S.","Effects of the toxic dinoflagellate, Alexandrium fundyense on three species of larval fish: a food-chain approach",JOURNAL OF FISH BIOLOGY,,,72,1,,,168,188,,10.1111/j.1095-8649.2007.01698.x,,,1/8/14,2008,,,,,,,,,16,1,16,0,17,0022-1112,,WOS:000252713100012,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Fry, Brian; Cieri, Matthew; Hughes, Jeff; Tobias, Craig; Deegan, Linda A.; Peterson, Bruce",Stable isotope monitoring of benthic-planktonic coupling using salt marsh fish,MARINE ECOLOGY PROGRESS SERIES,,,369,,,,193,204,,10.3354/meps07644,,,2008,2008,,,,,,,,,8,0,8,0,8,0171-8630,,WOS:000260873400016,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"MacKenzie, Richard A.; Dionne, Michele",Habitat heterogeneity: importance of salt marsh pools and high marsh surfaces to fish production in two Gulf of Maine salt marshes,MARINE ECOLOGY PROGRESS SERIES,,,368,,,,217,230,,10.3354/meps07560,,,2008,2008,,,,,,,,,11,0,11,0,11,0171-8630,,WOS:000260511800020,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,6,Fundulus heteroclitus,"Able, K. W.; Hagan, S. M.; Kovitvongsa, K.; Brown, S. A.; Lamonaca, J. C.",Piscivory by the mummichog (Fundulus heteroclitus): Evidence from the laboratory and salt marshes,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,345,1,,,26,37,,10.1016/j.jembe.2007.01.003,,,6/29/07,2007,,,,,,,,,10,0,9,0,10,0022-0981,,WOS:000246096800003,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,Fundulus heteroclitus,"Rountree, Rodney A.; Able, Kenneth W.",Spatial and temporal habitat use patterns for salt marsh nekton: implications for ecological functions,AQUATIC ECOLOGY,,,41,1,,,25,45,,10.1007/s10452-006-9052-4,,,3/7/14,2007,,,,,,,,,33,0,33,0,35,1386-2588,,WOS:000243649200003,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,No,Yes,,Fundulus heteroclitus,"Hollingsworth, Anna; Connolly, Rod M.",Feeding by fish visiting inundated subtropical saltmarsh,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,336,1,,,88,98,,10.1016/j.jembe.2006.04.008,,,8/22/06,2006,,,,,,,,,28,0,24,0,29,0022-0981,,WOS:000239553100008,,,,,,,,,,,,,,,,,,,,,,,,,,
