Study ID,Focal node,Focal node mean body size,Focal node mean body size SD,Focal node minimum size,Focal node maximum size,Body size type,Body size units,Focal node stage,Interaction,Interaction habitat type,Target node,Target node mean body size,Target node minimum body size,Target node maximum body size,Target node body size units,Target node body part,Target node stage,Study type,Observation type,Lat,Long,Location,Sample size (for specific observation set),Reference,Recorder
104,Fundulus heteroclitus,.,,,,.,.,adult,predation,embayment,Fundulus heteroclitus,.,,,.,,juvenile,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,adult,predation,embayment,detritus,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus heteroclitus,.,,,,.,.,adult,predation,embayment,Fundulus majalis,.,,,.,,juvenile,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus majalis,.,,,,.,.,adult,predation,embayment,Fundulus majalis,.,,,.,,juvenile,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus majalis,.,,,,.,.,adult,predation,embayment,Palaemonetes pugio,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus majalis,.,,,,.,.,adult,predation,embayment,Fundulus heteroclitus,.,,,.,,juvenile,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Fundulus majalis,.,,,,.,.,adult,predation,embayment,detritus,.,,,.,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Fundulus heteroclitus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Fundulus heteroclitus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Fundulus majalis,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Fundulus majalis,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Menidia menidia,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Menidia menidia,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Cyprinodon variegatus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Cyprinodon variegatus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Pomlobus pseudoharengus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Pomlobus pseudoharengus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Mugil cephalus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Mugil cephalus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Brevoortia tyrannus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Brevoortia tyrannus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Anguilla rostrata,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Anguilla rostrata,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Pomatomus saltatrix,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Pomatomus saltatrix,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Tautoga onitis,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Tautoga onitis,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Pseudopleuronectes americanus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Pseudopleuronectes americanus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Scophthalmus aquosus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Scophthalmus aquosus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Hyporhamphus unifasciatus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Hyporhamphus unifasciatus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Lucania parva,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Lucania parva,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Morone americana,.,,,,.,.,.,predation,embayment,Palaemonetes pugio,">1.5, <4.7",,,cm,,.,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Brevoortia tyrannus,.,,,,.,.,juvenile,predation,embayment,plankton,.,,,.,,.,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anas rubripes,.,,,,.,.,.,predation,embayment,Ruppia maritima,.,,,.,,.,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anas platyrhynchos,.,,,,.,.,.,predation,embayment,Ulva lactuca,.,,,.,,.,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anas rubripes,.,,,,.,.,.,predation,embayment,Ruppia maritima,.,,,.,,.,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anas platyrhynchos,.,,,,.,.,.,predation,embayment,Ulva lactuca,.,,,.,,.,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anas platyrhynchos,.,,,,.,.,.,predation,embayment,Fundulus heteroclitus,.,,,.,,.,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anas platyrhynchos,.,,,,.,.,.,predation,embayment,Palaemonetes pugio,.,,,.,,.,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
,Conocephalus spartinae,.,,,,.,.,.,predation,salt marsh creek bank,Spartina patens,(420 +/- 21)(100),,,(tillers)(cm^2 height),,adult,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",255-m^2,Bertness and Ellison 1987,SS
,Conocephalus spartinae,.,,,,.,.,.,predation,salt marsh creek bank,Distichlis spicata,(92 +/- 5)(100),,,(tillers)(cm^2 height),,adult,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",255-m^2,Bertness and Ellison 1987,SS
,Ernephala maritima,.,,,,.,.,.,predation,salt marsh creek bank,Salicornia europaea,260 +/- 13,,,mm,,internode,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",100 +/- 19 mg,Ellison 1987b,SS
,Coleophora caespititiella,.,,,,.,.,larvae,predation,salt marsh creek bank,Salicornia europaea,290 +/- 19,,,mm,,internode,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",250 +/- 54 mg,Ellison 1987b,SS
,Coleophora cratipennela,.,,,,.,.,larvae,predation,salt marsh creek bank,Salicornia europaea,290 +/- 19,,,mm,,internode,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",250 +/- 54 mg,Ellison 1987b,SS
,Prokelisia marginita,.,,,,.,.,adult,predation,salt marsh,Spartina alterniflora ,3/19/14,,,,flowers,,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",.,Bertness et al. 1987,SS
,Prokelisia marginita,.,,,,.,.,juvenile,predation,salt marsh,Spartina alterniflora ,3/19/14,,,,flowers,,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",.,Bertness et al. 1987,SS
,Conocephalus spartinae,">3, <13",,,,body length,mm,adult,predation,salt marsh,Spartina alterniflora ,3/19/14,,,,flowers,,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",.,Bertness et al. 1987,SS
,Conocephalus spartinae,">3, <13",,,,body length,mm,adult,predation,salt marsh,Distichlis spicata,May-44,,,,flowers,,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",.,Bertness et al. 1987,SS
,Conocephalus spartinae,">3, <13",,,,body length,mm,adult,predation,salt marsh,Juncus gerardi,2/22/14,,,,flowers,,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",.,Bertness et al. 1987,SS
,Conocephalus spartinae,">3, <13",,,,body length,mm,adult,predation,salt marsh,Spartina patens,1/4/14,,,,flowers,,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",.,Bertness et al. 1987,SS
,Orchelimum concinnum,.,,,,.,.,.,predation,salt marsh,perennials,.,,,.,,.,observation,field,N41 44.104,W71 17.655,"Rumstick Cove, Smith Cove, Barrington, RI",.,Bertness et al. 1987,SS
17,Fundulus heteroclitus,.,,,,.,.,.,predation,salt marsh,Amphipoda,.,,,.,,.,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus heteroclitus,.,,,,.,.,.,predation,salt marsh,Isopoda,.,,,.,,.,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus heteroclitus,.,,,,.,.,.,predation,salt marsh,Insecta,.,,,.,,larvae,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus heteroclitus,.,,,,.,.,.,predation,salt marsh,Melampus bidentatus,.,,,.,,.,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus heteroclitus,.,,,,.,.,.,predation,salt marsh,Littorina saxatilis,.,,,.,,juvenile,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus heteroclitus,.,,,,.,.,.,predation,salt marsh,Polychaeta,.,,,.,,.,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus majalis,.,,,,.,.,.,predation,salt marsh,Amphipoda,.,,,.,,.,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus majalis,.,,,,.,.,.,predation,salt marsh,Insecta,.,,,.,,larvae,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus majalis,.,,,,.,.,.,predation,salt marsh,Isopoda,.,,,.,,.,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus majalis,.,,,,.,.,.,predation,salt marsh,Melampus bidentatus,.,,,.,,.,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus majalis,.,,,,.,.,.,predation,salt marsh,Annelida,.,,,.,,.,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
17,Fundulus majalis,.,,,,.,.,.,predation,salt marsh,Littorina saxatilis,.,,,.,,juvenile,observation,field,41.28 N,72.81 W,"Branford River Harbor Marsh, Branford, CT",.,Fell et al. 1982*,SS
14,Fundulus heteroclitus,7.5,,,,body length,cm,adult,predation,salt marsh creek bank,Orchestia grillus,1.6-4.1,,,mm,,adult,gut contents,field,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",NA,Vince et al 1976,MH
14,Fundulus heteroclitus,7.5,,,,body length,cm,adult,predation,salt marsh creek bank,Melampus bidentatus,.5-7,,,mm,,adult,observation,field,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",NA,Vince et al 1976,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Detritus,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,algae,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Amphipoda,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Copepoda,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Tanaidacea,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Insecta,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,foraminefera,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Hydrozoa,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,platyhelminthes,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Nematoda,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Annelida,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Bivalvia,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Gastropoda,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Ostracoda,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Caridea,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,xanthidae,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,xanthidae,NA,,,NA,,larvae,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,isopoda,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Sessilia,NA,,,NA,,larvae,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Arachnida,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Acari,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
18,Fundulus heteroclitus,NA,,,,NA,NA,adult,predation,salt marsh creek,Actinopterygii,NA,,,NA,,NA,gut contents,field,NA,NA,NA,NA,Allen et al 1994,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Crangon septemspinosa,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Menidia menidia,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Palaemonetes vulgaris,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Fundulus heteroclitus,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Detritus,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Callinectes sapidus,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Ovalipes ocellatus,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,isopoda,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Cyprinodon variegatus,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Fundulus majalis,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
19,Paralichthys dentatus,288,,,,total length,mm,juvenile,predation,salt marsh creek,Gobiosoma bosc,NA,,,NA,,NA,gut contents,field,,,S. New Jersey,137,Roundtree and Able 1992,MH
21,Carcinus maenas,55-120,,,,total length,mm,.,predation,salt marsh peat,Homarus americanus,<40,,,mm,,juvenile,observation,laboratory,.,.,"(Cape Cod, MA) and (Tuckerton, NJ)",180,Barshaw et al. 1994,SS
21,Tautogolabrus adspersus,35-65,,,,carapace width,mm,.,predation,salt marsh peat,Homarus americanus,<40,,,mm,,juvenile,observation,laboratory,.,.,"(Cape Cod, MA) and (Tuckerton, NJ)",180,Barshaw et al. 1994,SS
22,Orchestia grillus,10-16,,,,mean length,mm,.,herbivory,salt marsh creek bank,epiphytic algae,.,,,.,,.,data analyses,laboratory,42.74159444,-70.837975,"Plum Island Estuary, MA",.,Pascal and Fleeger 2013,SS
22,Orchestia grillus,10-16,,,,mean length,mm,.,herbivory,salt marsh creek bank,filamentous algae,.,,,.,,.,data analyses,laboratory,42.74159444,-70.837975,"Plum Island Estuary, MA",.,Pascal and Fleeger 2013,SS
22,Melampus bidentatus,9-11,,,,mean shell height,mm,.,herbivory,salt marsh creek bank,epiphytic algae,.,,,.,,.,data analyses,laboratory,42.74159444,-70.837975,"Plum Island Estuary, MA",.,Pascal and Fleeger 2013,SS
22,Melampus bidentatus,9-11,,,,mean shell height,mm,.,herbivory,salt marsh creek bank,filamentous algae,.,,,.,,.,data analyses,laboratory,42.74159444,-70.837975,"Plum Island Estuary, MA",.,Pascal and Fleeger 2013,SS
22,Nassarius obsoletus,15-19,,,,mean shell height,mm,.,herbivory,salt marsh creek bank,epiphytic algae,.,,,.,,.,data analyses,laboratory,42.74159444,-70.837975,"Plum Island Estuary, MA",.,Pascal and Fleeger 2013,SS
22,Nassarius obsoletus,15-19,,,,mean shell height,mm,.,herbivory,salt marsh creek bank,filamentous algae,.,,,.,,.,data analyses,laboratory,42.74159444,-70.837975,"Plum Island Estuary, MA",.,Pascal and Fleeger 2013,SS
23,Cynoscion regalis,41-54,,,,total length,cm,adult,predation,salt marsh creek,Palaemonetes pugio,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",14,Bologna 2006,SS
23,Cynoscion regalis,41-54,,,,total length,cm,adult,predation,salt marsh creek,Hippolyte zostericola,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",14,Bologna 2006,SS
23,Cynoscion regalis,41-54,,,,total length,cm,adult,predation,salt marsh creek,Callinectes sapidus,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",14,Bologna 2006,SS
23,Cynoscion regalis,41-54,,,,total length,cm,adult,predation,salt marsh creek,Crangon septimspinosa,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",14,Bologna 2006,SS
23,Cynoscion regalis,41-54,,,,total length,cm,adult,predation,salt marsh creek,Menidia menidia,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",14,Bologna 2006,SS
23,Cynoscion regalis,41-54,,,,total length,cm,adult,predation,salt marsh creek,Solemya velum,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",14,Bologna 2006,SS
23,Paralichthys dentatus,22-34,,,,total length,cm,adult,predation,salt marsh creek,Palaemonetes pugio,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",8,Bologna 2006,SS
23,Paralichthys dentatus,22-34,,,,total length,cm,adult,predation,salt marsh creek,Hippolyte zostericola,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",8,Bologna 2006,SS
23,Paralichthys dentatus,22-34,,,,total length,cm,adult,predation,salt marsh creek,Callinectes sapidus,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",8,Bologna 2006,SS
23,Paralichthys dentatus,22-34,,,,total length,cm,adult,predation,salt marsh creek,Syngnathus fuscus,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",8,Bologna 2006,SS
23,Paralichthys dentatus,22-34,,,,total length,cm,adult,predation,salt marsh creek,Crangon septimspinosa,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",8,Bologna 2006,SS
23,Paralichthys dentatus,22-34,,,,total length,cm,adult,predation,salt marsh creek,Menidia menidia,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",8,Bologna 2006,SS
23,Morone saxatilis,35-41,,,,total length,cm,adult,predation,salt marsh creek,Palaemonetes pugio,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",3,Bologna 2006,SS
23,Morone saxatilis,35-41,,,,total length,cm,adult,predation,salt marsh creek,Hippolyte zostericola,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",3,Bologna 2006,SS
23,Sphoeroides maculatus,.,,,,.,.,.,predation,salt marsh creek,Callinectes sapidus,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",3,Bologna 2006,SS
23,Tautoga onitis,.,,,,.,.,.,predation,salt marsh creek,Amphipoda,.,,,.,,.,gut contents,laboratory,39.35 N,74.15 W,"Little Egg Harbor, NJ",3,Bologna 2006,SS
