Study ID,Focal node,Focal node mean body size,Focal node mean body size SD,Focal node minimum size,Focal node maximum size,Body size type,Body size units,Focal node stage,Interaction,Interaction habitat type,Target node,Target node mean body size,Target node minimum body size,Target node maximum body size,Target node body size units,Target node body part,Target node stage,Study type,Observation type,Lat,Long,Location,Sample size (for specific observation set),Reference,Recorder
16,Fundulus heteroclitus,<30,,,,mean length,mm,juvenile,predation,tidal creek,ostracoda,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus heteroclitus,<30,,,,mean length,mm,juvenile,predation,tidal creek,Diptera,.,,,.,,larvae,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus heteroclitus,<30,,,,mean length,mm,juvenile,predation,tidal creek,Harpacticoida,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus heteroclitus,42,,,,mean length,mm,adult,predation,tidal creek,Carcinus maenas,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus heteroclitus,42,,,,mean length,mm,adult,predation,tidal creek,algae,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus heteroclitus,42,,,,mean length,mm,adult,predation,tidal creek,detritus,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus majalis,<30,,,,mean length,mm,juvenile,predation,tidal creek,Nematoda,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus majalis,<30,,,,mean length,mm,juvenile,predation,tidal creek,Ostracoda,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus majalis,<30,,,,mean length,mm,juvenile,predation,tidal creek,Diptera,.,,,.,,larvae,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus majalis,<30,,,,mean length,mm,juvenile,predation,tidal creek,Harpacticoida,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus majalis,50,,,,mean length,mm,adult,predation,tidal creek,Bivalvia,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus majalis,50,,,,mean length,mm,adult,predation,tidal creek,Gastropoda,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus majalis,50,,,,mean length,mm,adult,predation,tidal creek,Polychaeta,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus majalis,50,,,,mean length,mm,adult,predation,tidal creek,algae,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Fundulus majalis,50,,,,mean length,mm,adult,predation,tidal creek,detritus,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Tautoga onitis,50,,,,mean length,mm,.,predation,tidal creek,Melampus bidentatus,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Tautoga onitis,50,,,,mean length,mm,.,predation,tidal creek,Orchestia grillus,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Centropristes striata,40,,,,mean length,mm,.,predation,tidal creek,Melampus bidentatus,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Centropristes striata,40,,,,mean length,mm,.,predation,tidal creek,Orchestia grillus,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Pseudopleuronectes americanus,88,,,,mean length,mm,.,predation,tidal creek,Melampus bidentatus,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
16,Pseudopleuronectes americanus,88,,,,mean length,mm,.,predation,tidal creek,Orchestia grillus,.,,,.,,.,gut contents,laboratory,"41ç35'30""N","70ç38'50""W","Great Sippewissett Marsh, Cape Cod, Ma",.,Sarda et al. 1997,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,diptera,.,,,.,,larvae,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,coleoptera,.,,,.,,adult,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,coleoptera,.,,,.,,larvae,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,detritus,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Copepoda,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Bacillariophyta,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Ostracoda,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Chirnomidae,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Nematoda,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Cladocera,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Amphipoda,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Acari,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,filamentous algae,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Arachnida,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Decapoda,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Actinopterygii,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
15,Fundulus heteroclitus,48,,,,mean length,mm,adult,predation,creeks and pools,Polychaeta,.,,,.,,.,gut contents,laboratory,41.51 N,71.29 W,"Sachuest Point, Middletown, Rhode Island",465,James-Pirri et al. 2001,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Fundulus heteroclitus,,,,,,adult,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Palaemonetes pugio,">2.5, <4.7",,,cm,,.,gut contents,laboratory,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",?,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Fundulus heteroclitus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Fundulus majalis,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Fundulus majalis,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Menidia menidia,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Menidia menidia,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Cyprinodon variegatus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Cyprinodon variegatus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Pomlobus pseudoharengus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Pomlobus pseudoharengus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Mugil cephalus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Mugil cephalus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Brevoortia tyrannus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Brevoortia tyrannus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Roccus americanus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Roccus americanus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Pomatomus saltatrix,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Pomatomus saltatrix,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Tautoga onitis,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Tautoga onitis,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Clupea harengus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Clupea harengus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Stenotomus chrysops,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Stenotomus chrysops,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Pseudopleuronectes americanus,.,,,.,,adult,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
104,Anguilla rostrata,.,,,,.,.,.,predation,embayment,Pseudopleuronectes americanus,.,,,.,,juvenile,observation,field,41ç 38.82000' N,71ç16.07100' W,"Bissel Cove Marsh, Narragansett Bay, RI",.,Nixon and Oviatt 1973,SS
